2026-07-21 04:51:30 install libldap-common:all <none> 2.5.13+dfsg-5
2026-07-21 04:51:30 status half-installed libldap-common:all 2.5.13+dfsg-5
2026-07-21 04:51:30 status unpacked libldap-common:all 2.5.13+dfsg-5
2026-07-21 04:51:30 install libsasl2-modules:arm64 <none> 2.1.28+dfsg-10
2026-07-21 04:51:30 status half-installed libsasl2-modules:arm64 2.1.28+dfsg-10
2026-07-21 04:51:30 status unpacked libsasl2-modules:arm64 2.1.28+dfsg-10
2026-07-21 04:51:31 install publicsuffix:all <none> 20230209.2326-1
2026-07-21 04:51:31 status half-installed publicsuffix:all 20230209.2326-1
2026-07-21 04:51:31 status unpacked publicsuffix:all 20230209.2326-1
2026-07-21 04:51:31 startup packages configure
2026-07-21 04:51:31 configure libkeyutils1:arm64 1.6.3-2 <none>
2026-07-21 04:51:31 status unpacked libkeyutils1:arm64 1.6.3-2
2026-07-21 04:51:31 status half-configured libkeyutils1:arm64 1.6.3-2
2026-07-21 04:51:31 status installed libkeyutils1:arm64 1.6.3-2
2026-07-21 04:51:31 configure libpsl5:arm64 0.21.2-1 <none>
2026-07-21 04:51:31 status unpacked libpsl5:arm64 0.21.2-1
2026-07-21 04:51:31 status half-configured libpsl5:arm64 0.21.2-1
2026-07-21 04:51:31 status installed libpsl5:arm64 0.21.2-1
2026-07-21 04:51:31 configure libgpm2:arm64 1.20.7-10+b1 <none>
2026-07-21 04:51:31 status unpacked libgpm2:arm64 1.20.7-10+b1
2026-07-21 04:51:31 status half-configured libgpm2:arm64 1.20.7-10+b1
2026-07-21 04:51:31 status installed libgpm2:arm64 1.20.7-10+b1
2026-07-21 04:51:31 configure wget:arm64 1.21.3-1+deb12u1 <none>
2026-07-21 04:51:31 status unpacked wget:arm64 1.21.3-1+deb12u1
2026-07-21 04:51:31 status half-configured wget:arm64 1.21.3-1+deb12u1
2026-07-21 04:51:31 status installed wget:arm64 1.21.3-1+deb12u1
2026-07-21 04:51:31 configure libbrotli1:arm64 1.0.9-2+b6 <none>
2026-07-21 04:51:31 status unpacked libbrotli1:arm64 1.0.9-2+b6
2026-07-21 04:51:31 status half-configured libbrotli1:arm64 1.0.9-2+b6
2026-07-21 04:51:31 status installed libbrotli1:arm64 1.0.9-2+b6
2026-07-21 04:51:31 configure libssl3:arm64 3.0.20-1~deb12u2 <none>
2026-07-21 04:51:31 status unpacked libssl3:arm64 3.0.20-1~deb12u2
2026-07-21 04:51:31 status half-configured libssl3:arm64 3.0.20-1~deb12u2
2026-07-21 04:51:31 status installed libssl3:arm64 3.0.20-1~deb12u2
2026-07-21 04:51:31 configure libnghttp2-14:arm64 1.52.0-1+deb12u3 <none>
2026-07-21 04:51:31 status unpacked libnghttp2-14:arm64 1.52.0-1+deb12u3
2026-07-21 04:51:31 status half-configured libnghttp2-14:arm64 1.52.0-1+deb12u3
2026-07-21 04:51:31 status installed libnghttp2-14:arm64 1.52.0-1+deb12u3
2026-07-21 04:51:31 configure krb5-locales:all 1.20.1-2+deb12u5 <none>
2026-07-21 04:51:31 status unpacked krb5-locales:all 1.20.1-2+deb12u5
2026-07-21 04:51:31 status half-configured krb5-locales:all 1.20.1-2+deb12u5
2026-07-21 04:51:31 status installed krb5-locales:all 1.20.1-2+deb12u5
2026-07-21 04:51:31 configure libldap-common:all 2.5.13+dfsg-5 <none>
2026-07-21 04:51:31 status unpacked libldap-common:all 2.5.13+dfsg-5
2026-07-21 04:51:31 status half-configured libldap-common:all 2.5.13+dfsg-5
2026-07-21 04:51:31 status installed libldap-common:all 2.5.13+dfsg-5
2026-07-21 04:51:31 configure libkrb5support0:arm64 1.20.1-2+deb12u5 <none>
2026-07-21 04:51:31 status unpacked libkrb5support0:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:31 status half-configured libkrb5support0:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:31 status installed libkrb5support0:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:31 configure libsasl2-modules-db:arm64 2.1.28+dfsg-10 <none>
2026-07-21 04:51:31 status unpacked libsasl2-modules-db:arm64 2.1.28+dfsg-10
2026-07-21 04:51:31 status half-configured libsasl2-modules-db:arm64 2.1.28+dfsg-10
2026-07-21 04:51:32 status installed libsasl2-modules-db:arm64 2.1.28+dfsg-10
2026-07-21 04:51:32 configure librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2026-07-21 04:51:32 status unpacked librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2026-07-21 04:51:32 status half-configured librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2026-07-21 04:51:32 status installed librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2026-07-21 04:51:32 configure libncursesw6:arm64 6.4-4 <none>
2026-07-21 04:51:32 status unpacked libncursesw6:arm64 6.4-4
2026-07-21 04:51:32 status half-configured libncursesw6:arm64 6.4-4
2026-07-21 04:51:32 status installed libncursesw6:arm64 6.4-4
2026-07-21 04:51:32 configure libk5crypto3:arm64 1.20.1-2+deb12u5 <none>
2026-07-21 04:51:32 status unpacked libk5crypto3:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:32 status half-configured libk5crypto3:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:32 status installed libk5crypto3:arm64 1.20.1-2+deb12u5
2026-07-21 04:51:32 configure libsasl2-2:arm64 2.1.28+dfsg-10 <none>
2026-07-21 04:51:32 status unpacked libsasl2-2:arm64 2.1.28+dfsg-10
